"Days","Videos"
"0","23010"
"1","10374"
"2","4371"
"3","1814"
"4","711"
"5","184"
"6","66"
"7","42"
"8","49"
"9","23"
"10","25"
"11","15"
"12","13"
"13","10"
"14","4"
"15","8"
"16","10"
"17","9"
"18","7"
"19","6"
"20","6"
"21","5"
"22","6"
"23","5"
"24","5"
"25","5"
"26","1"
"27","3"
"28","6"
"29","4"
"30","1"
"31","2"
"32","1"
"33","2"
"34","2"
"46","1"
"48","1"
"49","1"
"64","1"
"71","1"
"72","1"
"73","1"
"74","1"
"75","1"
"81","1"
"82","1"
"84","1"
"91","1"
"99","1"
"113","1"
"128","1"
"136","1"
"137","2"
"138","2"
"139","2"
"140","1"
"146","1"
"189","1"
"190","1"
"240","1"
"241","1"
"242","1"
"254","1"
"340","1"
"390","1"
"407","2"
"408","1"
"415","1"
"416","1"
"460","1"
"461","1"
"485","1"
"591","1"
"610","1"
"611","1"
"702","1"
"772","1"
"824","1"
"837","1"
"947","1"
"948","1"
"988","1"
"1099","1"
"1107","1"
"1167","1"
"1376","1"
"1447","1"
"1449","1"
"1495","1"
"1496","1"
"1497","1"
"1629","1"
"1630","1"
"1652","1"
"1695","1"
"1696","1"
"1705","1"
"1851","1"
"2892","1"
"2893","1"
"2894","1"
"3195","1"
"3582","1"
"3583","1"
"3584","1"
"3656","1"
"3657","1"
