"Days","Videos"
"0","26860"
"1","10086"
"2","2725"
"3","695"
"4","183"
"5","43"
"6","27"
"7","27"
"8","29"
"9","18"
"10","13"
"11","14"
"12","14"
"13","16"
"14","7"
"15","4"
"16","7"
"17","7"
"18","6"
"19","4"
"20","3"
"21","6"
"22","8"
"23","6"
"24","1"
"25","2"
"26","1"
"27","3"
"28","2"
"29","2"
"46","1"
"49","1"
"72","1"
"86","1"
"89","1"
"135","1"
"193","1"
"261","1"
"358","1"
"490","1"
"491","1"
"527","1"
"549","1"
"569","1"
"632","1"
"1084","1"
"1355","1"
"1461","1"
"1462","1"
"1466","1"
"2045","1"
