"Days","Videos"
"0","1399"
"1","1903"
"2","2080"
"3","2196"
"4","2237"
"5","2218"
"6","2210"
"7","2157"
"8","2061"
"9","1990"
"10","1882"
"11","1689"
"12","1419"
"13","1132"
"14","961"
"15","868"
"16","807"
"17","769"
"18","708"
"19","672"
"20","609"
"21","555"
"22","525"
"23","505"
"24","495"
"25","477"
"26","472"
"27","459"
"28","423"
"29","394"
"30","364"
"31","344"
"32","326"
"33","305"
"34","284"
"35","266"
"36","94"
"37","5"
"38","3"
"39","3"
"40","3"
"41","2"
"42","1"
"43","1"
"44","1"
"45","1"
"46","1"
"47","1"
"48","1"
"52","1"
"53","1"
"54","1"
"55","1"
"56","1"
"57","1"
"58","1"
"59","1"
"60","1"
"61","1"
"62","1"
"63","2"
"64","2"
"65","1"
"66","2"
"67","2"
"68","3"
"69","1"
"72","1"
"73","1"
"74","1"
"75","1"
"76","1"
"105","1"
"106","1"
"107","1"
"108","1"
"109","1"
"110","1"
"111","1"
"112","2"
"113","1"
"114","1"
"115","1"
"116","1"
"117","1"
"118","1"
"119","1"
"120","1"
"121","1"
"122","1"
"123","1"
"124","2"
"125","2"
"126","2"
"127","2"
"128","2"
"129","2"
"130","2"
"131","2"
"132","1"
"133","1"
"134","1"
"135","1"
"136","1"
"181","1"
"182","1"
"183","1"
"187","1"
"188","1"
"189","1"
"190","1"
"191","1"
"192","1"
"193","1"
"194","1"
"195","1"
"196","1"
"197","1"
"198","1"
"199","1"
"218","1"
"219","1"
"220","1"
"225","1"
"240","1"
"241","1"
"242","1"
"243","1"
"244","1"
"245","2"
"246","1"
"247","1"
"248","1"
"249","1"
"250","2"
"251","2"
"252","1"
"253","1"
"254","1"
"319","1"
"325","1"
"326","1"
"327","1"
"328","1"
"329","1"
"330","1"
"331","1"
"332","1"
"333","1"
"334","1"
"335","1"
"338","1"
"368","1"
"369","1"
"370","1"
"371","1"
"372","1"
"373","1"
"374","1"
"375","1"
"376","2"
"377","2"
"378","2"
"379","2"
"380","1"
"381","1"
"382","1"
"383","1"
"384","1"
"385","1"
"388","1"
"464","1"
"466","1"
"467","1"
"468","1"
"469","2"
"470","2"
"471","3"
"472","3"
"473","3"
"474","3"
"475","3"
"476","3"
"477","2"
"478","2"
"479","1"
"483","1"
"484","1"
