"Days","Videos"
"0","3150"
"1","4334"
"2","4652"
"3","4678"
"4","4576"
"5","4007"
"6","3081"
"7","2161"
"8","1645"
"9","1360"
"10","1189"
"11","1076"
"12","934"
"13","781"
"14","594"
"15","468"
"16","394"
"17","304"
"18","216"
"19","177"
"20","152"
"21","132"
"22","107"
"23","102"
"24","98"
"25","77"
"26","68"
"27","41"
"28","23"
"29","7"
"30","4"
"31","4"
"32","3"
"33","3"
"34","4"
"35","4"
"36","2"
"37","1"
"38","2"
"39","2"
"40","3"
"41","3"
"42","1"
"43","1"
"44","1"
"45","1"
"46","2"
"47","4"
"48","4"
"49","3"
"50","1"
"58","3"
"59","3"
"60","2"
"61","2"
"62","1"
"63","1"
"64","1"
"65","1"
"75","1"
"76","1"
"77","1"
"78","1"
"97","1"
"98","1"
"99","1"
"103","1"
"104","1"
"105","1"
"106","1"
"107","1"
"108","1"
"109","1"
"110","1"
"111","1"
"113","1"
"114","1"
"134","1"
"135","1"
"136","1"
"137","1"
"138","1"
"139","2"
"140","2"
"141","1"
"142","1"
"145","1"
"146","1"
"147","1"
"203","1"
"204","1"
"205","1"
"206","1"
"207","1"
"208","1"
"209","1"
"227","1"
"246","1"
"247","1"
"248","1"
"249","2"
"250","1"
"254","1"
"286","1"
"287","1"
"329","1"
"330","1"
"331","1"
"332","2"
"333","2"
"334","1"
"335","2"
"336","1"
"337","1"
"378","1"
"379","1"
"380","1"
"381","1"
"382","1"
"384","1"
"385","1"
"402","1"
"403","1"
"404","1"
"405","1"
"406","1"
"407","1"
"408","1"
"479","1"
"515","1"
"536","1"
"537","1"
"538","1"
"539","1"
"540","1"
"541","1"
"579","1"
"580","1"
"581","1"
"582","1"
"618","1"
"619","1"
"620","1"
"621","1"
"771","1"
"772","1"
"773","1"
"774","1"
"775","1"
"776","1"
"777","1"
"778","1"
"793","1"
"794","1"
"795","1"
"796","1"
"823","1"
"824","1"
"825","1"
"826","1"
"861","1"
"862","1"
"863","1"
"907","1"
"908","1"
"941","1"
"942","2"
"943","1"
"1029","1"
"1030","1"
"1031","1"
"1034","1"
"1035","1"
"1036","1"
"1093","1"
"1094","1"
"1095","1"
"1096","1"
"1115","1"
"1116","1"
"1117","1"
"1118","1"
"1119","1"
"1266","1"
"1267","1"
"1268","1"
"1269","1"
"1270","1"
"1271","1"
"1272","1"
"1284","1"
"1285","1"
"1286","1"
"1287","1"
"1288","1"
"1289","1"
"1290","1"
"1291","1"
"1376","1"
"1379","1"
"1407","1"
"1408","1"
"1409","2"
"1410","2"
"1411","2"
"1419","1"
"1420","1"
"1519","1"
"1520","1"
"1521","1"
"1522","1"
"1530","1"
"1531","1"
"1532","1"
"1533","1"
"1549","1"
"1550","1"
"1551","1"
"1560","1"
"1561","1"
"1562","1"
"1567","1"
"1568","1"
"1641","1"
"1642","1"
"1660","1"
"1661","1"
"1662","1"
"1663","1"
"1677","1"
"1678","1"
"1679","1"
"1680","1"
"1681","1"
"1698","1"
"1699","1"
"1703","1"
"1704","1"
"1705","1"
"1707","1"
"1708","1"
"1709","1"
"1710","1"
"1711","1"
"1712","1"
"1718","1"
"1719","1"
"1720","1"
"1721","1"
"1769","1"
"1770","1"
"1819","1"
"1820","1"
"1821","1"
"1822","1"
"1874","1"
"1875","1"
"1876","1"
"1877","2"
"1878","1"
"1879","1"
"1880","1"
"1881","1"
"1948","1"
"1949","1"
"1950","1"
"1982","1"
"2075","1"
"2076","1"
"2077","1"
"2113","1"
"2114","1"
"2161","1"
"2162","1"
"2201","1"
"2202","1"
"2250","1"
"2251","1"
"2333","1"
"2334","1"
"2360","1"
"2361","1"
"2362","1"
"2363","1"
"2409","1"
"2410","1"
"2411","1"
"2412","1"
"2413","1"
"2414","1"
"2415","1"
"2416","1"
"2417","1"
"2423","1"
"2462","1"
"2463","1"
"2464","1"
"2465","1"
"2466","1"
"2488","1"
"2489","1"
"2652","1"
"2653","1"
"2654","1"
"2655","1"
"2656","1"
"2657","1"
"2815","1"
"2816","1"
"2817","1"
"2819","1"
"2820","1"
"2821","1"
"2822","2"
"2823","1"
"2824","1"
"2838","1"
"2861","1"
"2862","1"
"2931","1"
"2932","1"
"2933","1"
"2934","1"
"2935","1"
"2936","1"
"2937","1"
"2938","1"
"3026","1"
"3043","1"
"3044","1"
"3112","1"
"3175","1"
"3176","1"
"3397","1"
"3398","1"
"3399","1"
"3447","1"
"3448","1"
"3449","1"
"3450","1"
"3562","1"
"3563","1"
"3564","1"
"3565","1"
"4214","1"
