days,videos
0,1605
1,26831
2,8781
3,2379
4,546
5,129
6,64
7,40
8,36
9,38
10,25
11,19
12,21
13,11
14,12
15,12
16,15
17,11
18,8
19,7
20,6
21,9
22,6
23,9
24,7
25,3
26,7
27,8
28,2
29,4
30,3
42,1
47,2
48,1
52,1
53,2
57,1
61,2
62,1
63,1
69,1
73,1
85,1
103,1
119,1
127,1
132,1
134,1
136,1
170,1
191,2
231,1
263,1
268,1
315,1
325,1
345,1
413,1
418,1
492,1
505,1
506,2
527,1
556,1
559,1
577,1
588,1
605,1
638,1
710,1
773,2
791,1
840,1
933,1
1019,1
1026,1
1246,1
1311,1
1336,1
1355,1
1357,1
1447,1
1488,1
1606,1
1607,1
1686,1
1708,1
1709,1
1710,1
1848,1
2309,1
2848,1
2989,1
3146,1
3190,1
