days,videos
0,71
1,1328
2,1904
3,2080
4,2196
5,2238
6,2218
7,2210
8,2156
9,2061
10,1988
11,1882
12,1689
13,1420
14,1132
15,961
16,868
17,807
18,769
19,706
20,671
21,610
22,556
23,524
24,505
25,494
26,476
27,470
28,460
29,423
30,394
31,363
32,345
33,326
34,305
35,285
36,269
37,95
38,5
39,3
40,3
41,3
42,2
43,1
44,1
45,1
46,1
47,1
48,1
49,1
53,1
54,1
55,1
56,1
57,1
58,1
59,1
60,1
61,1
62,1
63,1
64,2
65,2
66,1
67,2
68,2
69,3
70,1
73,1
74,1
75,1
76,1
77,1
106,1
107,1
108,1
109,1
110,1
111,1
112,1
113,2
114,1
115,1
116,1
117,1
118,1
119,1
120,1
121,1
122,1
123,1
124,1
125,2
126,2
127,2
128,2
129,2
130,2
131,2
132,2
133,1
134,1
135,1
136,1
137,1
182,1
183,1
184,1
188,1
189,1
190,1
191,1
192,1
193,1
194,1
195,1
196,1
197,1
198,1
199,1
200,1
219,1
220,1
221,1
226,1
241,1
242,1
243,1
244,1
245,1
246,2
247,1
248,1
249,1
250,1
251,2
252,2
253,1
254,1
255,1
320,1
326,1
327,1
328,1
329,1
330,1
331,1
332,1
333,1
334,1
335,1
336,1
339,1
369,1
370,1
371,1
372,1
373,1
374,1
375,1
376,1
377,2
378,2
379,2
380,2
381,1
382,1
383,1
384,1
385,1
386,1
389,1
465,1
467,1
468,1
469,1
470,2
471,2
472,3
473,3
474,3
475,3
476,3
477,3
478,2
479,2
480,1
484,1
485,1
486,1
487,1
488,1
489,1
490,1
491,1
492,1
493,1
587,1
588,1
589,1
590,1
591,1
592,1
718,1
719,1
720,1
721,1
722,1
723,1
724,1
725,1
726,1
727,1
728,1
738,1
739,1
740,1
741,1
742,1
743,1
744,1
745,1
746,1
747,1
748,2
749,2
750,1
751,1
752,1
753,1
778,1
779,1
780,1
781,1
782,1
783,1
784,1
785,1
786,2
787,2
788,3
789,2
790,1
791,1
792,1
793,1
794,1
817,1
818,1
819,1
820,1
821,1
822,1
823,1
824,1
825,1
826,1
838,1
839,1
840,1
851,1
852,1
853,1
854,1
855,1
856,1
857,1
858,1
980,1
981,1
982,1
983,1
984,1
985,1
986,1
989,1
990,1
991,1
992,1
1028,1
1029,1
1030,1
1031,1
1032,1
1033,1
1034,1
1035,1
1036,1
1037,1
1153,1
1154,1
1155,1
1156,1
1160,1
1161,1
1162,1
1163,1
1164,1
1165,1
1166,1
1167,1
1168,1
1169,1
1170,1
1171,1
1172,1
1173,1
1174,1
1175,1
1216,1
1217,1
1218,1
1219,1
1220,1
1221,1
1222,1
1223,1
1235,1
1236,1
1237,1
1238,1
1239,1
1240,1
1241,1
1242,1
1328,1
1329,1
1330,1
1331,1
1332,1
1333,1
1334,1
1335,1
1336,1
1337,1
1338,1
1363,1
1364,1
1365,1
1366,1
1367,1
1368,1
1369,1
1370,1
1371,1
1372,1
1373,1
1456,1
1457,1
1458,1
1459,1
1460,1
1461,1
1462,1
1463,1
1536,1
1537,1
1538,1
1539,1
1540,1
1541,1
1542,1
1543,1
1549,1
1550,1
1551,1
1552,1
1553,1
1554,1
1555,2
1556,1
1557,1
1558,1
1559,1
1560,1
1561,1
1562,1
1630,1
1631,1
1632,1
1633,1
1634,1
1635,1
1636,1
1637,1
1638,2
1639,2
1640,2
1641,2
1642,2
1643,2
1644,2
1645,2
1646,1
1689,1
1690,1
1691,1
1692,1
1693,1
1694,1
1695,1
1753,1
1754,1
1755,1
1756,1
1757,1
1758,1
1759,1
1888,1
1889,1
1890,1
1891,1
1913,1
1936,1
1937,1
1938,1
1939,1
1940,1
1941,1
1942,1
1943,1
1944,1
2162,1
2163,1
2164,1
2165,1
2166,1
2167,1
2168,1
2169,1
2170,1
2171,1
2184,1
2185,1
2186,1
2187,1
2188,1
2189,1
2190,1
2191,1
2192,1
2193,1
2250,1
2251,1
2252,1
2253,1
2256,1
2257,1
2258,1
2259,1
2260,1
2261,1
2262,1
2276,1
2277,1
2278,1
2279,1
2280,1
2281,1
2282,1
2283,1
2284,1
2285,1
2424,1
2425,1
2427,1
2428,1
2443,1
2444,1
2445,1
2446,1
2447,1
2448,1
2493,1
2494,1
2495,1
2496,1
2497,1
2498,1
2499,1
2524,1
2525,1
2526,1
2527,1
2528,1
2529,1
2530,1
2531,1
2532,1
2533,1
2536,1
2537,1
2538,1
2539,1
2540,1
2541,1
2542,1
2548,1
2549,1
2550,1
2551,1
2552,1
2553,1
2554,1
2555,1
2556,1
2557,1
2584,1
2585,1
2586,1
2587,1
2588,1
2589,1
2630,1
2631,1
2777,1
2778,1
2779,1
2780,1
2781,1
2782,1
2783,1
2784,1
2785,1
2786,2
2787,2
2788,2
2789,2
2790,2
2791,2
2792,2
2793,1
2794,1
2795,1
2917,1
2918,1
2919,1
2920,1
2921,1
2922,1
3233,1
3234,1
3235,1
3236,1
3237,1
3238,1
3239,1
3318,1
3319,1
3320,1
3321,1
3322,1
3323,1
3324,1
3325,1
3326,2
3327,1
3328,1
3329,1
3330,1
3331,1
3332,1
3333,1
3334,1
3398,1
3399,1
3400,1
3401,1
3402,1
3403,1
3404,1
3405,1
3406,1
3407,1
3408,1
3409,1
