days,videos
0,152
1,3006
2,4334
3,4651
4,4677
5,4577
6,4007
7,3079
8,2160
9,1642
10,1357
11,1188
12,1075
13,932
14,782
15,598
16,471
17,393
18,303
19,216
20,177
21,152
22,132
23,108
24,101
25,99
26,76
27,68
28,41
29,23
30,7
31,4
32,4
33,3
34,3
35,4
36,4
37,2
38,1
39,2
40,2
41,3
42,3
43,1
44,1
45,1
46,1
47,2
48,4
49,4
50,3
51,1
59,3
60,3
61,2
62,2
63,1
64,1
65,1
66,1
76,1
77,1
78,1
79,1
98,1
99,1
100,1
104,1
105,1
106,1
107,1
108,1
109,1
110,1
111,1
112,1
114,1
115,1
135,1
136,1
137,1
138,1
139,1
140,2
141,2
142,1
143,1
146,1
147,1
148,1
204,1
205,1
206,1
207,1
208,1
209,1
210,1
228,1
247,1
248,1
249,1
250,2
251,1
255,1
287,1
288,1
330,1
331,1
332,1
333,2
334,2
335,1
336,2
337,1
338,1
379,1
380,1
381,1
382,1
383,1
385,1
386,1
403,1
404,1
405,1
406,1
407,1
408,1
409,1
480,1
516,1
537,1
538,1
539,1
540,1
541,1
542,1
580,1
581,1
582,1
583,1
619,1
620,1
621,1
622,1
772,1
773,1
774,1
775,1
776,1
777,1
778,1
779,1
794,1
795,1
796,1
797,1
824,1
825,1
826,1
827,1
862,1
863,1
864,1
908,1
909,1
942,1
943,2
944,1
1030,1
1031,1
1032,1
1035,1
1036,1
1037,1
1094,1
1095,1
1096,1
1097,1
1116,1
1117,1
1118,1
1119,1
1120,1
1267,1
1268,1
1269,1
1270,1
1271,1
1272,1
1273,1
1285,1
1286,1
1287,1
1288,1
1289,1
1290,1
1291,1
1292,1
1377,1
1380,1
1408,1
1409,1
1410,2
1411,2
1412,2
1420,1
1421,1
1520,1
1521,1
1522,1
1523,1
1531,1
1532,1
1533,1
1534,1
1550,1
1551,1
1552,1
1561,1
1562,1
1563,1
1568,1
1569,1
1642,1
1643,1
1660,1
1661,1
1662,1
1663,1
1678,1
1679,1
1680,1
1681,1
1682,1
1699,1
1700,1
1704,1
1705,1
1706,1
1708,1
1709,1
1710,1
1711,1
1712,1
1713,1
1719,1
1720,1
1721,1
1722,1
1770,1
1771,1
1820,1
1821,1
1822,1
1823,1
1875,1
1876,1
1877,1
1878,2
1879,1
1880,1
1881,1
1882,1
1949,1
1950,1
1951,1
1983,1
2076,1
2077,1
2078,1
2114,1
2115,1
2162,1
2163,1
2202,1
2203,1
2251,1
2252,1
2334,1
2335,1
2361,1
2362,1
2363,1
2364,1
2410,1
2411,1
2412,1
2413,1
2414,1
2415,1
2416,1
2417,1
2418,1
2424,1
2463,1
2464,1
2465,1
2466,1
2467,1
2489,1
2490,1
2653,1
2654,1
2655,1
2656,1
2657,1
2658,1
2816,1
2817,1
2818,1
2820,1
2821,1
2822,1
2823,2
2824,1
2825,1
2839,1
2862,1
2863,1
2932,1
2933,1
2934,1
2935,1
2936,1
2937,1
2938,1
2939,1
3027,1
3044,1
3045,1
3113,1
3176,1
3177,1
3398,1
3399,1
3400,1
3448,1
3449,1
3450,1
3451,1
3563,1
3564,1
3565,1
3566,1
4215,1
