publish_day,publish_hour,videos
5,18,627
6,18,597
4,18,592
3,17,577
6,17,561
5,17,561
3,18,530
6,21,516
7,17,514
1,17,513
2,18,502
7,18,490
6,6,478
3,19,463
2,21,457
3,21,438
3,23,431
2,17,430
1,16,430
1,19,422
1,21,412
7,21,409
1,18,408
5,21,407
6,19,391
5,19,389
2,23,386
4,17,382
6,23,381
1,20,380
6,22,378
7,0,374
2,16,370
5,0,369
7,20,368
5,15,365
6,16,362
3,22,349
4,21,349
4,23,344
5,16,343
7,16,343
2,19,340
5,23,324
2,22,319
1,23,319
6,20,316
4,3,316
7,22,315
7,19,315
6,15,309
5,22,305
4,19,303
3,15,300
1,22,297
3,20,296
2,15,294
4,16,293
7,23,284
6,0,282
5,14,281
4,20,280
3,3,273
5,20,271
4,14,271
4,15,270
6,12,266
3,0,266
4,22,264
6,3,258
3,16,258
4,0,255
2,20,253
2,2,252
7,14,248
2,4,246
6,14,246
2,0,245
3,14,242
1,15,234
2,5,232
2,1,230
6,13,218
6,5,216
7,15,215
6,2,208
7,3,204
2,14,200
4,1,197
6,1,195
1,14,194
4,5,193
3,1,191
2,3,190
1,0,188
5,4,188
1,13,182
5,5,182
3,4,181
6,9,179
7,1,177
5,1,177
3,5,175
5,3,175
2,12,171
5,6,168
3,2,168
2,6,167
1,1,164
5,2,161
4,2,160
4,4,158
7,13,154
4,12,153
3,13,152
1,3,151
6,4,149
7,2,147
4,13,147
7,5,147
7,6,147
1,2,146
1,4,141
6,7,141
1,5,138
5,7,133
5,12,132
1,10,132
7,4,129
5,13,127
5,8,127
3,6,125
7,12,119
1,6,117
4,6,116
7,9,114
3,9,114
2,13,112
3,12,111
2,8,110
6,10,104
2,9,100
5,9,99
6,11,98
4,9,90
1,9,87
3,7,87
2,7,87
1,12,82
7,7,82
4,7,81
6,8,81
1,11,78
2,11,76
4,8,76
3,11,69
1,7,67
5,11,67
7,11,66
1,8,61
2,10,60
7,8,57
4,10,56
5,10,56
3,10,55
4,11,47
3,8,45
7,10,38
