publish_day,publish_hour,videos
5,18,730
6,18,704
3,18,629
5,16,626
1,18,596
6,16,583
4,18,570
5,17,562
6,15,547
2,18,544
5,15,503
5,19,502
4,16,494
2,16,487
7,18,480
6,17,476
3,19,472
4,15,470
1,16,465
1,19,457
1,17,456
7,22,453
3,15,447
4,17,439
1,20,434
6,14,434
3,17,432
3,16,431
6,19,428
2,19,425
5,14,420
1,12,412
2,17,408
3,14,406
4,14,404
5,20,389
2,20,384
4,19,376
7,21,371
7,20,363
7,17,363
1,21,363
6,20,354
2,15,342
6,13,332
6,11,332
1,10,331
4,20,329
6,22,326
7,19,326
6,21,326
6,12,325
1,13,325
7,12,324
5,21,321
7,16,320
2,14,316
3,20,315
1,14,314
1,15,314
1,11,310
7,14,308
1,22,298
7,15,296
7,23,292
2,21,280
3,13,279
3,12,263
5,22,260
4,21,260
3,23,254
4,13,253
2,12,251
5,12,247
6,6,246
2,13,246
4,12,246
3,21,245
6,23,242
2,22,240
7,13,238
3,22,231
2,23,230
7,10,230
5,13,229
2,0,225
7,9,215
4,22,209
5,23,208
4,11,207
7,11,204
1,23,202
1,9,200
5,11,198
4,23,186
3,11,183
6,10,180
5,9,180
2,11,178
1,0,177
6,0,174
1,8,170
6,9,165
2,8,161
2,10,159
5,10,152
3,10,149
3,9,148
4,10,146
4,9,143
5,8,141
2,9,140
5,0,135
7,0,115
1,1,114
3,0,111
5,7,109
4,0,108
2,5,102
6,8,99
7,8,94
5,6,92
6,5,92
2,1,89
3,5,85
4,8,83
4,6,82
4,7,81
2,7,79
3,3,78
1,7,76
4,1,76
3,6,74
2,6,73
6,3,71
3,7,70
5,1,69
2,2,68
7,6,67
4,3,66
6,7,64
5,5,64
1,2,63
3,8,63
6,1,62
4,5,61
2,4,59
6,2,56
5,3,56
7,7,56
2,3,55
5,4,51
1,6,49
5,2,47
7,1,46
3,1,45
4,4,45
3,2,41
7,3,37
1,3,36
7,5,36
1,4,35
3,4,32
6,4,31
7,4,30
7,2,29
4,2,29
1,5,23
