publish_day,publish_hour,videos
6,18,1248
6,17,1204
4,18,1038
5,18,1001
3,18,838
2,18,818
4,17,756
3,17,728
5,17,719
1,18,689
2,17,653
1,17,602
7,18,569
6,16,558
1,19,546
7,17,465
6,19,464
5,19,460
3,19,433
1,16,429
2,19,422
1,20,416
6,20,409
4,16,406
3,21,381
4,19,380
6,21,369
7,21,362
7,20,360
7,22,357
2,16,357
5,21,355
7,19,353
2,21,353
1,10,346
1,21,341
2,20,340
4,20,331
4,12,329
3,20,316
5,16,314
5,20,314
6,12,312
5,15,309
1,12,309
4,14,303
1,15,301
4,21,294
1,11,289
7,11,289
1,14,287
3,16,282
6,15,279
2,12,279
3,22,276
7,16,275
7,23,270
4,15,269
3,15,266
6,22,263
7,12,263
4,22,257
1,22,257
2,15,253
2,22,246
3,12,245
1,23,242
1,13,242
5,22,241
5,12,241
6,11,235
2,14,233
6,14,233
7,15,228
5,14,224
4,23,222
2,11,221
3,23,221
6,23,215
7,14,211
4,13,210
3,14,201
7,10,201
6,0,192
2,23,188
2,0,185
5,11,178
6,10,176
2,13,171
2,10,169
5,10,168
1,0,165
3,13,165
4,11,164
3,11,163
6,6,163
7,13,162
5,23,159
1,9,158
3,10,156
5,13,154
4,10,152
5,0,148
6,9,141
7,9,135
2,9,128
1,1,127
4,0,126
6,13,124
3,0,124
7,0,122
2,2,117
5,9,115
3,9,112
2,8,106
2,1,104
4,9,101
5,7,96
5,1,90
6,1,89
5,6,88
7,1,85
1,8,84
4,1,77
1,2,76
6,5,76
4,6,75
2,3,74
6,7,73
4,7,72
2,7,72
5,8,71
7,8,70
1,7,69
6,8,69
4,8,69
3,5,66
3,8,66
5,5,66
1,3,64
6,3,64
3,1,63
5,2,62
7,7,62
2,5,61
6,2,61
5,3,61
3,3,60
3,7,58
3,6,54
4,5,54
2,6,53
4,2,51
4,3,50
5,4,49
3,4,44
2,4,43
7,3,42
1,6,42
7,2,41
7,4,40
3,2,40
1,4,38
1,5,36
4,4,34
7,6,32
7,5,28
6,4,23
