publish_day,publish_hour,videos
6,6,1569
4,18,987
5,18,818
3,18,709
6,16,628
2,17,577
4,19,561
2,16,555
5,17,549
5,15,542
2,18,540
5,16,510
4,16,510
5,19,500
4,17,497
5,14,490
6,17,478
3,17,463
3,16,453
3,15,451
4,20,450
5,21,442
6,18,439
6,15,429
4,15,426
6,19,389
3,19,381
3,20,344
2,19,334
5,22,328
4,23,325
4,14,325
1,18,322
5,6,318
4,6,312
6,5,311
3,23,307
2,21,299
6,9,299
3,14,288
4,21,286
2,14,285
5,23,283
6,14,282
5,0,279
2,15,275
1,22,274
4,12,274
2,10,273
3,21,270
5,20,269
3,13,265
2,20,265
2,6,264
4,22,261
6,1,260
5,3,256
6,20,255
6,3,254
1,20,253
4,10,252
6,13,251
6,23,231
3,3,224
7,20,223
6,12,220
4,5,220
2,2,218
2,1,218
5,11,215
2,22,214
5,5,213
2,3,211
5,9,209
4,13,204
5,4,202
1,6,202
3,1,201
4,11,198
1,19,198
4,9,194
3,22,193
1,21,192
3,5,191
6,22,188
4,0,188
4,1,188
3,2,185
7,17,184
6,21,182
2,23,178
3,6,172
6,2,169
4,3,166
7,23,164
6,7,164
7,19,163
2,0,163
2,4,162
5,1,161
6,0,157
6,8,157
1,17,156
6,10,154
3,4,154
3,0,154
7,16,153
5,12,149
7,18,143
1,1,140
2,5,139
2,11,136
3,10,134
3,11,134
6,11,134
7,2,131
1,10,129
4,8,129
4,2,127
5,2,126
5,10,125
2,13,124
6,4,122
3,9,120
7,14,115
1,16,113
4,4,112
1,7,111
2,8,109
7,22,104
7,1,101
5,7,99
7,11,96
5,13,94
1,0,89
2,9,87
2,12,86
7,6,86
2,7,85
7,0,84
1,15,78
7,15,74
1,4,74
7,21,72
7,4,70
5,8,69
7,7,64
4,7,62
7,9,61
1,12,61
1,9,60
3,12,60
3,7,57
1,3,47
1,11,46
1,5,46
1,8,41
1,14,40
7,3,39
3,8,35
1,23,33
1,13,33
7,5,26
7,12,25
7,8,14
7,13,11
7,10,10
1,2,1
